title,category,description,price,image
Зубная щетка электрическая PHILIPS HX 9368/35,Серия еvent,no description,29 690 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Зубная щетка электрическая PHILIPS HX 9332/35,Серия еvent,no description,15 390 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Зубная щетка электрическая PHILIPS HX 9112/12 ,Серия еvent,no description,11 790 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Интерактивный игрушка Занимательная Анатомия Oregon Scientific SA218,Интерактивные игрушки,no description,8 290 сом,http://planeta.kg/upload/iblock/2f0/2f02e70c558b0b16a0ed20100f11edbb.jpeg
Станция бытового водоснабжения GARDENA с эко-режимом 4000/5 eco Comfort,Насосы,no description,21 590 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Насос поверхностный Ставр НП-1100 (1100 Вт, макс производительность 53,3 л/мин, напор 42 м, максимальная глубина всасывания 8м)",Насосы,no description,7 190 сом,http://planeta.kg/upload/iblock/7ce/7ce45407c79e5bc9205fc9c5aadad262.jpeg
Нож для электрорубанка KOLNER KPB 110 (110*29*3 мм 2шт),Аксессуары,no description,190 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Лобзик электрический Ставр ЛЭ-65/600 (600 Вт, 500-3000 ходов/мин, ход полотна 18мм, регулировка частоты хода, 4 супени маятникового хода)",Электроинструменты,no description,3 190 сом,http://planeta.kg/upload/iblock/a80/a809ad21c405ada15999b3470a444804.jpeg
"Дрель ударная Ставр ДУ-16/1200 МР-2С  (1200 Вт, 0-1200/0-3000 об/мин, 0-19200/0-48000 уд/мин, 2 скорости, патрон 3-16мм, реверс,)",Электроинструменты,no description,5 690 сом,http://planeta.kg/upload/iblock/012/012760e9c9a41d165dc49604a9db80c3.jpeg
"Дрель ударная KOLNER KID 580V-A (580 Вт, 0-3000 об/мин, патрон 1,5- 13 мм, реверс, регулировка оборотов, дополнительная рукоятка)",Электроинструменты,no description,3 990 сом,http://planeta.kg/upload/iblock/0da/0dae395b47491c84d21543e3bcc796f4.jpeg
"Аппарат для сварки пластиковых труб Ставр АСПТ- 2000 (2000 Вт, рабочая температура 0-300 градусов, насадки 20/25/32/40/50/63 мм, время нагрева 2м)",Электроинструменты,no description,3 890 сом,http://planeta.kg/upload/iblock/79e/79e8b0df858c73f64c43d1d2218d3245.jpeg
"Стабилизатор напряжения компактный ЭРА СНК-1000Ц 160-260В/220В, 1000ВА",Электроинструменты,no description,2 790 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Стабилизатор напряжения компактный ЭРА СНК-1500Ц 160-260В/220В, 1500ВА",Электроинструменты,no description,3 790 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Рубанок электрический KOLNER KEP 480 (480 Вт,16000 об/мин, макс.  ширина строгания 82мм, макс. глубина 0,6 мм)",Электроинструменты,no description,2 790 сом,http://planeta.kg/upload/iblock/f35/f356ddb659c98dff6e2e403a1717eb1e.png
"Лобзик электрический KOLNER KJS 710V  (710 Вт, частота ходов 3000 об/мин, макс глубина пропила в дереве 65мм, пиление под углом 0-45град )",Электроинструменты,no description,2 590 сом,http://planeta.kg/upload/iblock/03a/03aa05889b26fa0228b55e0affce5dc3.jpeg
Компрессор автомобильный BORT BLK-700X2,Разное,no description,3 190 сом,http://planeta.kg/upload/iblock/cf1/cf17833b732b9200ce38153970967372.png
Компрессор автомобильный BORT BLK-255,Разное,no description,1 690 сом,http://planeta.kg/upload/iblock/222/2223c008de6d4de1dd68161d42c6c63a.png
Измельчитель пищевых отходов под раковину BORT TITAN 5000 (CONTROL),Разное,no description,16 490 сом,http://planeta.kg/upload/iblock/477/47704a1d78baf47a1b9f965348b0134d.png
Измельчитель пищевых отходов под раковину BORT TITAN 5000,Разное,no description,14 990 сом,http://planeta.kg/upload/iblock/04e/04e9819601fca78c96c706bfe9635b98.png
Измельчитель пищевых отходов под раковину BORT TITAN 4000 (CONTROL),Разное,no description,14 990 сом,http://planeta.kg/upload/iblock/455/455462e9a392d3652ebb991b07cdeff2.png
Измельчитель пищевых отходов под раковину BORT TITAN 4000,Разное,no description,13 190 сом,http://planeta.kg/upload/iblock/681/681c8d9675439438178dbeedf9323acd.png
Измельчитель пищевых отходов под раковину BORT ALLIGATOR PLUS,Разное,no description,19 990 сом,http://planeta.kg/upload/iblock/0d4/0d400a0a68b7390e624d56ad1f7b4b07.png
Измельчитель пищевых отходов под раковину BORT ALLIGATOR,Разное,no description,19 490 сом,http://planeta.kg/upload/iblock/8fd/8fd39266abee6f4758da4b7e003a2832.png
"Компрессор автомобильный KOLNER KCO 12/19 (12 Вольт давление 3 бара, диаметр цилиндра 19мм, производительность 15л/мин, кабель 3м, насадки)",Разное,no description,910 сом,http://planeta.kg/upload/iblock/11c/11c696468c8900728580c357cd82f033.jpeg
"Экран моторизированный Mr.Pixel 90"" X 120"" (2,29 X 3,05)",Экраны для проекторов,no description,22 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Экран моторизированный Mr.Pixel 80"" X 80"" (2,03 X 2,03)	",Экраны для проекторов,no description,14 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Экран моторизированный Mr.Pixel 72"" X 96"" (1,83 X 2,44)",Экраны для проекторов,no description,16 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Экран моторизированный Mr.Pixel 60"" X 80"" (1,53 X 2,03)	",Экраны для проекторов,no description,13 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Ноутбук Haier U1500SM (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/128GB SSD/64GB eMMC/Intel UHD Graphics 600/Windows 10 Home)",Ноутбуки,no description,32 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Ноутбук Haier U1500SD (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/128GB SSD/64GB eMMC/Intel UHD Graphics 600/Без ОС)",Ноутбуки,no description,26 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Ноутбук Haier U1500HD (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/1000GB HDD/64GB eMMC/Intel UHD Graphics 600/DOS)",Ноутбуки,no description,29 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Ноутбук Haier A1400EM (Intel Celeron N3350 1100MHz/14.1""/1366x768/4GB/64GB eMMC/DVD нет/Intel HD Graphics 500/Wi-Fi/Bluetooth/Windows 10 Home)",Ноутбуки,no description,24 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
